term,date_raw,event
Spring 2026,January 19,"MLK Jr. Day Holiday, Classes Suspended"
Spring 2026,January 20,Classes Begin; First Seven-Week Session Begins
Spring 2026,February 16,"Presidents’ Day Holiday, Classes Suspended"
Spring 2026,February 17,Substitute a Monday schedule of classes
Spring 2026,March 6,First Seven-Week Session Ends
Spring 2026,March 7 – March 15,Spring Recess
Spring 2026,March 16,Classes Resume; Second Seven-Week Session Begins
Spring 2026,April 20,"Patriots’ Day Holiday, Classes Suspended"
Spring 2026,April 22,Substitute a Monday schedule of classes
Spring 2026,April 30,Last Day of Classes; Second Seven-Week Session Ends
Spring 2026,May 1 – May 3,Study Period
Spring 2026,May 4,Final Exams Begin
Spring 2026,May 8,Final Exams End
Spring 2026,May 14 – May 17,Commencement Celebrations
Spring 2026,May 17,All University Commencement; Spring Degree Award Date
